Name,dataTime,XAcc,YAcc,ZAcc,Acc,Shake,XOri,YOri,ZOri,XGyr,YGyr,ZGyr,Timestamp
칼만1,12.85,4.6379833,4.30589,4.4025927,7.709370974801089,0,-6.6989594,57.025227,270.7367,0.028099801,0.45937067,-0.013439035,2017-02-20 16:03:36
칼만1,12.969,4.6943927,4.3466845,4.4973564,7.820307099160674,0,-6.6989594,57.025227,270.7367,0.028099801,0.45937067,-0.013439035,2017-02-20 16:03:36
칼만1,13.09,4.7405124,4.393883,4.589488,7.927298892869954,0,-6.465155,51.173508,270.51105,-0.028099801,0.5448918,0.019547688,2017-02-20 16:03:36
칼만1,13.209,4.7844787,4.430023,4.676168,8.023894841040146,0,-6.5914187,45.617783,270.54636,0.0012217305,0.5546656,0.009773844,2017-02-20 16:03:36
칼만1,13.31,4.860863,4.4781885,4.748904,8.138443025319525,0,-6.5914187,45.617783,270.54636,0.0012217305,0.5546656,0.009773844,2017-02-20 16:03:36
칼만1,13.429,4.858354,4.474779,4.75994,8.141516009946406,0,-5.7245517,41.128204,269.67194,-0.103847094,0.4813618,0.052534413,2017-02-20 16:03:36
칼만1,13.548,4.8262053,4.424052,4.7404575,8.083095247403124,0,-5.7245517,41.128204,269.67194,-0.103847094,0.4813618,0.052534413,2017-02-20 16:03:36
칼만1,13.667,4.7573314,4.363779,4.7688212,8.025984397238414,0,-4.5142727,35.86265,268.3214,-0.065973446,0.47158796,-0.062308256,2017-02-20 16:03:36
칼만1,13.787,4.746556,4.3770323,4.8006287,8.04575907812854,0,-4.1714406,30.641909,271.51752,0.037873644,0.66339964,-0.12583824,2017-02-20 16:03:37
칼만1,13.908,4.653033,4.264847,4.7141466,7.877995340843954,0,-4.1714406,30.641909,271.51752,0.037873644,0.66339964,-0.12583824,2017-02-20 16:03:37
칼만1,14.009,4.504401,4.127621,4.584964,7.638637301378232,0,-3.7650769,23.289923,273.3736,-0.2003638,1.3121386,-0.036651913,2017-02-20 16:03:37
칼만1,14.127,4.341045,3.9615834,4.4570403,7.375908216397299,0,-3.2184699,14.706489,273.71124,-0.037873644,0.39950588,-0.010995574,2017-02-20 16:03:37
칼만1,14.247,4.162885,3.8131254,4.3946753,7.154209166266179,0,-3.2184699,14.706489,273.71124,-0.037873644,0.39950588,-0.010995574,2017-02-20 16:03:37
칼만1,14.348,4.103264,3.7648695,4.343038,7.062081565187978,0,-2.8843875,10.022763,274.23022,0.032986723,0.13927728,0.002443461,2017-02-20 16:03:37
칼만1,14.469,4.0021057,3.666501,4.2827244,6.91388517196181,0,-2.8699985,7.4369764,274.91107,-0.040317107,0.312763,0.007330383,2017-02-20 16:03:37
칼만1,14.589,3.9625607,3.6341343,4.1910315,6.817152166113251,0,-2.8699985,7.4369764,274.91107,-0.040317107,0.312763,0.007330383,2017-02-20 16:03:37
칼만1,14.69,3.8859673,3.5552611,4.1367426,6.6972578354261705,0,-2.9011276,6.075721,275.289,-0.047647487,-0.014660766,0.007330383,2017-02-20 16:03:37
칼만1,14.813,3.8259103,3.5079775,4.094185,6.611039682709913,0,-2.9011276,6.075721,275.289,-0.047647487,-0.014660766,0.007330383,2017-02-20 16:03:38
칼만1,14.929,3.7778351,3.4542265,4.045091,6.524299301452765,0,-2.7220683,5.2942133,274.41864,0.065973446,0.047647487,-0.008552114,2017-02-20 16:03:38
칼만1,15.048,3.7409275,3.4331284,4.0367045,6.486593258797014,0,-2.3058245,5.0266204,274.68103,-0.02321288,-0.080634214,0.002443461,2017-02-20 16:03:38
칼만1,15.168,3.7458653,3.4280307,4.0156937,6.473692722965551,0,-2.3058245,5.0266204,274.68103,-0.02321288,-0.080634214,0.002443461,2017-02-20 16:03:38
칼만1,15.287,3.7261696,3.4122584,4.0041547,6.446790038511244,0,-2.5704184,5.330099,274.60822,0.047647487,-0.05375614,0.0012217305,2017-02-20 16:03:38
칼만1,15.407,3.713223,3.407376,4.005886,6.437807058653515,0,-2.6761646,5.4323606,274.6944,0.02443461,0.02076942,0.009773844,2017-02-20 16:03:38
칼만1,15.508,3.705907,3.3987064,3.991436,6.420008901829114,0,-2.6761646,5.4323606,274.6944,0.02443461,0.02076942,0.009773844,2017-02-20 16:03:38
칼만1,15.609,3.6885045,3.389564,3.9929569,6.406084148334322,0,-2.9150765,5.099276,275.19598,0.021991149,-0.07696902,-0.0036651916,2017-02-20 16:03:38
칼만1,15.73,3.7122006,3.400757,3.9942029,6.426448374291336,0,-2.9187877,5.4779077,274.9168,-0.008552114,-0.09407325,-0.007330383,2017-02-20 16:03:39
칼만1,15.849,3.7094562,3.4117112,4.023474,6.448890100727929,0,-2.9187877,5.4779077,274.9168,-0.008552114,-0.09407325,-0.007330383,2017-02-20 16:03:39
칼만1,15.97,3.7263775,3.4247453,4.0295744,6.469330683399225,0,-3.0321856,5.8259473,274.96173,0.013439035,0.032986723,0.0036651916,2017-02-20 16:03:39
칼만1,16.089,3.7316697,3.4272566,4.008616,6.460684807173102,0,-2.893053,5.66118,274.67487,-0.004886922,0.021991149,-0.008552114,2017-02-20 16:03:39
칼만1,16.21,3.7256868,3.418882,4.004226,6.450063795692502,0,-2.893053,5.66118,274.67487,-0.004886922,0.021991149,-0.008552114,2017-02-20 16:03:39
칼만1,16.313,3.7105548,3.4106555,4.003843,6.436734074764631,0,-3.0309918,5.7949824,274.69052,-0.0061086523,0.06841691,0.0012217305,2017-02-20 16:03:39
칼만1,16.428,3.7200015,3.4173815,4.008107,6.448397518214488,0,-3.0309918,5.7949824,274.69052,-0.0061086523,0.06841691,0.0012217305,2017-02-20 16:03:39
칼만1,16.55,3.7206714,3.4113827,3.9874194,6.432763072298363,0,-3.0324705,5.8550997,274.58466,0.034208454,-0.02076942,-0.012217305,2017-02-20 16:03:39
칼만1,16.669,3.7151613,3.4150517,4.0078206,6.444193337913346,0,-3.0726821,6.2056403,274.89203,-0.012217305,-0.05375614,-0.002443461,2017-02-20 16:03:39
칼만1,16.789,3.7158573,3.4134037,3.995853,6.436284733006661,0,-3.0726821,6.2056403,274.89203,-0.012217305,-0.05375614,-0.002443461,2017-02-20 16:03:40
칼만1,16.908,3.711177,3.4096243,3.990839,6.428465573840448,0,-3.1687386,6.1650605,275.02246,-0.010995574,0.02687807,-0.0036651916,2017-02-20 16:03:40
칼만1,17.028,3.705729,3.4085665,4.0033193,6.432520347247399,0,-3.3036942,6.050465,275.40652,0.0061086523,-0.02076942,-0.002443461,2017-02-20 16:03:40
칼만1,17.147,3.70404,3.409088,3.9992359,6.4292830480781955,0,-3.3036942,6.050465,275.40652,0.0061086523,-0.02076942,-0.002443461,2017-02-20 16:03:40
칼만1,17.248,3.6891851,3.3961015,3.966759,6.3936506739521155,0,-3.4663184,5.412426,275.44467,0.029321533,0.07452556,-0.002443461,2017-02-20 16:03:40
칼만1,17.349,3.6436272,3.3480444,3.9362555,6.322936597127854,0,-3.6101778,3.8571825,275.88824,0.010995574,0.18325958,-0.017104227,2017-02-20 16:03:40
칼만1,17.47,3.586645,3.3021765,3.894523,6.239847729542488,0,-3.6101778,3.8571825,275.88824,0.010995574,0.18325958,-0.017104227,2017-02-20 16:03:40
칼만1,17.59,3.531345,3.2576032,3.873321,6.171303844841529,0,-3.6417704,2.1205497,276.10754,-0.014660766,0.3359759,-0.02321288,2017-02-20 16:03:40
칼만1,17.71,3.4609149,3.1991112,3.8096886,6.060195640830616,0,-4.0291634,-0.4272995,276.71393,-0.087964594,0.51068336,-0.03176499,2017-02-20 16:03:41
칼만1,17.829,3.364845,3.1114967,3.7021668,5.891488160247937,0,-4.0291634,-0.4272995,276.71393,-0.087964594,0.51068336,-0.03176499,2017-02-20 16:03:41
칼만1,17.95,3.1860147,2.9182472,3.5270724,5.577373588202421,0,-4.2717314,-5.1218786,276.84827,-0.09896017,0.9297369,0.042760566,2017-02-20 16:03:41
칼만1,18.069,2.9815698,2.7512429,3.3584173,5.26669367014935,0,-2.9564924,-10.270125,276.0592,-0.06352998,0.42394048,-0.0061086523,2017-02-20 16:03:41
칼만1,18.19,2.7130303,2.487978,3.2035537,4.879889774587388,0,-2.9564924,-10.270125,276.0592,-0.06352998,0.42394048,-0.0061086523,2017-02-20 16:03:41
